Speaker	Utterance	Emotion	Sentiment
rosesh	मत्लब्?	neutral	neutral
sahil	मत्लब् हथि कि भश मेइन् जुस्त् शुत् उप्।	neutral	neutral
indravardhan	हहह	neutral	neutral
 
indravardhan	ऐल सब् कुछ् देख है न?	neutral	neutral
maya	और् ७ सल् के बद् मोनिश वैसि कि वैसि	neutral	neutral
mr. sindolin	ओक् लिघ्त्स् ओन् कर्ते हैन्	neutral	neutral
rosesh	आप् तो अमज़िन्ग् मिस्तिच् है। म्र्। सिन्दोलिन् मुझे आप् पेर् एक् कवित सुज् रहि है	neutral	neutral
indravardhan	नै नै नै। रोसेश् अभि नहिन्। यार् मैन् तो समझ्त थ तुम् कुछ् चलु पोच्केत् मार् हो। य फ़िर् वह् बोलि बलि लद्कियोन् को बेह्ल फ़ुस्ल कर् रपे कर्ने वले कोइ पाखन्दि दून्गि बब हो। लेकिन् तुम् तो कमल् के निकले भै हन्है न मोनिश। पसिसे वसूल्?	neutral	neutral
sahil	एक् मिनुते एक् मिनुते यह् है क्य इ मेअन् इस् इत् ह्य्प्नोसिस् यह् मेस्मेरिस्म् क्य है क्य?	neutral	neutral
mr. sindolin	थे अर्त् ओफ़् रोसेबिन्ज़रो नुमेस्तिकिज़तिओन् फिलन्थ्रोपिच् फिलोसोफ्य्	neutral	neutral
sahil	हन् वह् तो मैन् समझ् गय। लेकिन् यह् है क्य? व्हतेवेर् इत् इस् इ दोन्'त् बेलिएवे थिस्	neutral	neutral
maya	लेकिन् इस्मेइन् नहिन् बेलिएवे कर्ने क क्य है सहिल्? तुम्ने देख नहिन् कैसे धुप् से खते हुए मगर्मच्च् कि तरह् सम्ने पदि हुइ थि त्व् के समोसे खते खते। इ बेत् योउ ७ सल् बद् समोसे भि यहि होन्गे। वोह् मनिश हि थि थेरे इस् नो त्रिच्क्	neutral	neutral
monisha	हन् सहिल्। हम् दोनोन् हि थे। ८ सल् बद् भि सिर्फ़् हम् दोनोन्	neutral	neutral
indravardhan	नहिन् नहिन् मोनिश वोह् बच्च निचे खेल्ने गय होग न। इसिलिये नजर् नहिन् आय। है न?	neutral	neutral
monisha	कोइ बच्च नहिन् थ दद्द्य्जि	neutral	neutral
sahil	मोनिश चोमे ओन् नोव् दोन्'त् बे उप्सेत्	neutral	neutral
monisha	क्य दोन्'त् बे उप्सेत् सहिल् पत है कल् हि मैन् रगद बब कि तेकरि पेर् ६० रुपये ५० पैसे चदाये थे। बच्चे कि मन्नत् के लिये। और् रगद बब तो मन्नत् पुरि न होने पेर् रेफ़ुन्द् भि नहिन् देते।	neutral	neutral
rosesh	मत्लब् आप्को ६० रुपये ५० पैसे के लिये अफ़्सोस् हो रह है	neutral	neutral
indravardhan	अरे क्योन् हो अफ़्सोस् भै क्योन् हो भै वह् पैसे तो पुरि तरह् वसुल् होने वले हैन् है न सहिल्?	neutral	neutral
sahil	हन् बिल्कुल् ओब्विओउस्ल्य् म्र्। सिन्दोलिन् अब् हम् देखि रहे है तो देखि न इस् घर् मेइन् बच्चे कि झलक् दिखै दे। सात् सल् बद् तो बच्च खेल् रह होग	neutral	neutral
maya	अब्सोलुतेल्य्	neutral	neutral
monisha	हह दिखैये न दिखैये न। हन् लेकिन् बच्चे क रन्ग् न गोर होन चहिए। भुरि भुरि आन्खेन् और् उस्के बल् जो है उन्को घने रख्न न और् उस्के पल् के न ऐसि लम्बि लम्बि और् उस्कि होन्थ् न एकदम् लल् लल् सेब् जैसे	neutral	neutral
 
theif	अभि २ मिनुत् देत हुन् हन्। तु गेह्ने लेकर् वर्न तेरि सन्स् क गल कर् दुन्ग	neutral	neutral
madhu	हैन्?	neutral	neutral
theif	हैन् क्य हैन्। मैन् इससे २ मिनुत् दिये इन्होने गन नहिन् ले तो मैन् इन्क गल कर् दुन्ग 	neutral	neutral
madhu	हैन्?	neutral	neutral
rosesh	इन्को सुनै नहिन् देत	neutral	neutral
theif	अरे यार् सुनै नहिन् देत लेकिन् दिखै तो देत है। आ गले मेइन् चकु रख दिखै नहिन् देत	neutral	neutral
maya	मोनिश दे दो न प्लेअसे	neutral	neutral
theif	बदे बदे सेत् देन	neutral	neutral
maya	इस्के पास् बदे बदे लोउद् गोल्द् के सेत् हि है। सुब्त्ले रेफ़िनेद् जेवेल्लेर्य् यह् क्य जाने	neutral	neutral
monisha	भैय जि। गेह्ने देने मेइन् मुझे कोइ प्रोब्लेम् नहिन् है। लेकिन् सरे के सरे गन कुछ् तो वजिब् करो न	neutral	neutral
maya	मैने क्य कह थ तुम्को यह् ऐसे मौके पेर् भि बर्गैन् जरुर् करेगि। अगर् आप् मेर गल कात् के यहन् चकु दल् के चले जाये न 	neutral	neutral
theif	हन्	neutral	neutral
maya	तो चकु लेकर् खुश् हो जयेगि कि मुम्म्य् जि गै तो गै लेकिन् ६ को तो मिल् गय मुह्फ़त् मेइन्। इसिलिये मैन् कह् रहि हुन्	neutral	neutral
theif	क्य?	neutral	neutral
maya	उस्के गले पेर् चकु लगओ। मैन् बर्गैन् नहिन् करुन्गि। और् मेरे पस्स् बदे बदे देसिग्नेर् सेत् है	neutral	neutral
monisha	मुम्म्य् जि	neutral	neutral
maya	अत्तच्क्	neutral	neutral
rosesh	देखिअए। प्लेअसे रुक् जाइये।	neutral	neutral
theif	त्रिच्क् कर्ति है मेरे सथ्	neutral	neutral
maya	नहिन्	neutral	neutral
theif	उल्लु समझ्ति है मुझे	neutral	neutral
maya	नहिन् नहि	neutral	neutral
theif	अय्य् अभि तो अब् गन लेक आ नहिन् तो तेर बच्च गय	neutral	neutral
madhu	भै सहब् आप्के क्य कर् रहे हैन्?	neutral	neutral
theif	अरे कौन् है यार्। अरे तेरे को दिखै नहिन् देत क्य मैने इस्के गले पेर् चकु रख है	neutral	neutral
madhu	नहिन् नहिन् आपने यह् चकु उस्के गले पेर् क्योन् रख है ऐस पूछ् रह हुन्? नतक् कि प्रच्तिचे कर् रहे हैन्?	neutral	neutral
maya	मधुभै रोको?	neutral	neutral
madhu	हेन्ह्?	neutral	neutral
rosesh	मधु पुफ़ बाघिये बाघिये	neutral	neutral
madhu	बोक्षिन्ग्?	neutral	neutral
monisha	मधु पुफ़। चकु दे दिजिये दे दिजिये	neutral	neutral
madhu	चकु दे दुन्	neutral	neutral
madhu	लिजिये भै सहब् यह् आप्क चकु अब् प्रच्तिचे शुरु किजिये	neutral	neutral
theif	अभि तो गहने लेकर् चल् नहिन् तो तेर चोक्र	neutral	neutral
maya	नहिन् नहिन् अभि लति हुन्	neutral	neutral
 
indu	 वह् रोई, सहिल्, वह् रोई!	neutral	neutral
sahil	अब् तो आप् को तसल्ली होगी मोम् आप् से बेहत् प्यार् करती है	neutral	neutral
indu	 हान्, मज़ कितन आय	neutral	neutral
sahil	तो अब् यह् तो बस् करेन्?	neutral	neutral
indu	 नहिन् नहिन्, किधर् और् करते हैन्	neutral	neutral
sahil	 दद्, मोनीश पोलिचै स्ततिओन् मेइन् बैथी है।	neutral	neutral
indu	 अरे, बस् आज् की रात्, ओकय्?	neutral	neutral
maya	सहिल्!	neutral	neutral
sahil	मोम् आ गयी। उथ् जैए। आप्… नहिन् नहिन्। यहान् पे छुप् जैए।	neutral	neutral
maya	सहिल्!	neutral	neutral
sahil	क्य हुअ?	neutral	neutral
maya	सहिल्! मोनीश क भी फोनै आय थ पोलिचै स्ततिओन् से।	neutral	neutral
sahil	मोनीश अभी तक् वहीन् है?	neutral	neutral
maya	 हान्, किसी इन्स्पैच्तोर् ने कह दिय होग “विल्ल् योउ हवै अ चुप् ओफ़् तै?”, तो बैथ् गयी वह् वहान्, योउ क्नोव् मोनिश्। लेकिन् वह् इन्स्पैच्तोर् ने अभी कह कि…	neutral	neutral
sahil	 क्य? क्य हुअ? अरै योउ ओकय्, मोम्?	neutral	neutral
maya	 सहिल्, उन्हेन् एक् लाश् मिली है, जिसकी शक्ल् बिल्कुल् इन्दु से मिलती–जुलती है।	neutral	neutral
sahil	 यह्, यह् हो ही नहिन् सकत, मोम्।	neutral	neutral
 
kashyap	मय?	neutral	neutral
maya	 ओह्, कश्यप्, थन्क् गोद् तुम् आ गय, कश्यप्!	neutral	neutral
kashyap	 मय, तुम्हारी तबीयात् तो थीक् है न। इतने रात् गये मुझे क्योन् बुलाय।	neutral	neutral
maya	 कश्यप्, इन्दु गायब् हो गय है, और् मुझे बहुत् दर् लग् रह है!	neutral	neutral
kashyap	चिन्त की कोइ बात् नहिन् है। वह् वापस् आ जएग।	neutral	neutral
maya	 इसी बात् पर् तो मुझे दर् है कि वह् वापस् आ जएग। इ क्नोव् इत् सोउन्द्स् रोत्तैन्, 	neutral	neutral
maya	 लेकिन् इन्दु गायब् हो जाने से, न जाने क्योन्, मान् ही मान् मेइन् बहुत् खुश् हून्।	neutral	neutral
kashyap	व्हत्?	neutral	neutral
maya	 प्लैअसै, कश्यप्। मुझे यहान् से ले चलो, कहीन् दूर् ले चलो, प्लैअसै!	neutral	neutral
kashyap	 मय, दोन्’त् बै च्रज़्य्! मेरे बच्चे हैन्, तुम्हारी तो बहू भी है, वह् क्य सोचेगी?	neutral	neutral
maya	 वैसे वह् कम् ही सोचती है। पत – मनु धोन्दी की पर्त्य् मेइन् वह् प्लस्तिच् चप्पल् पहनके चली गयी थी, “मेरे पैर् मेइन् मोच् है“, और् पैर् की मोच् पर् सर् दर्द् वाल बल्म् लगाय, दोच्तोर् क खर्च् बचाने के लिए, और् दोच्तोर् भी कौन्? वह् सूरत् वाल बोनैसैत्तैर्!	neutral	neutral
kashyap	 मय, मय, तुम्हारी बहू दम् से नहिन् सोचती मुझे मालूम् है, लेकिन् इन्दु को सोचो! इन्दु वापस् आ गय तो?	neutral	neutral
maya	 तो मैन् कह् दून्गी उससे, “इत्’स् अल्ल् ओवैर्, इन्दु। अब् मैन् कश्यप् की हो चुकी हून्। मेरी ज़िन्दगी मेइन् तुम्हारे लिए कोई जगह् नहिन् है।”	neutral	neutral
indu	मय! मय!	neutral	neutral
maya	 हैल्लो, हुस्बन्द्। होव् अरै योउ?	neutral	neutral
indu	होव् अम् इ? इ अम् मद्! अबे ओ बिगदे हुए मिक्षैर्-ग्रिन्दैर् जैसी आवाज़् वाल कश्यप्!	neutral	neutral
kashyap	स्तोप् इत्! मय बचओ	neutral	neutral
sahil	 मोनीश, उथो!	neutral	neutral
sahil	 दद्, दद्, दद्, रैलक्ष्!	neutral	neutral
rosesh	 दद्, थिस् इस् अ सैतुप्।	neutral	neutral
monisha	 हान्, मामी जी जान् चुकी थी कि आप् अलमारी मेइन् छुपे होन्।	neutral	neutral
indu	सहिल्? तूने बत दिय न?	neutral	neutral
maya	 नहिन्, मैन् खुद् ही समझ् गयी।	neutral	neutral
indu	कैसे?	neutral	neutral
maya	 जब् सहिल् ने वह् घतिय सदक् छाप् गान दोबार गय, कौन् स वाल तो बेत?	neutral	neutral
monisha	तेरी नानी मारी तो मैन् क्य करून्!	neutral	neutral
maya	वही।	neutral	neutral
indu	तो?	neutral	neutral
maya	 मेरे मन करने पर् भी वहीन् गलती दोबार दोहराने की बेवकूफी मोनीश कर् सकती है, लेकिन् जब् मेरे सहिल् ने वही गान दोबार गय, तो मुझे समझ् गयी कि दाल् मेइन् कुछ्… इ मैअन्, शीरे मेइन् कुछ् गरम् मसाल है!	neutral	neutral
kashyap	और् तुझे परेशन् करने के लिए मुझे बुलाय गय।	neutral	neutral
indu	मैन् तो जानत ही थ।	neutral	neutral
rosesh	 दोन्’त् बुल्ल्शित्, दद्!	neutral	neutral
indu	 इ’म् नोत् बुल्ल्शित्तिन्ग्! ओकय्, पर्त् त्वो?	neutral	neutral
maya	 ओकय्, ओकय्, ऐवैर्योनै नोव् इफ़् योउ विल्ल् ऐक्ष्चुसै उस्। हम् दोनोन् मीअ बीवी ज़र अकेले मेइन् रहन चाहते हैन्। कश्यप्, थन्क् योउ सो मुछ्, योउ’रै अ स्वैऐथैअर्त्!	neutral	neutral
indu	 बुत् किसी और् क स्वैऐथैअर्त्, बिगाद हुअ मिक्सर्–ग्रैन्दर्! क्योन्कि मय क स्वैऐथैअर्त् सिर्फ़् मैन् हून्।	neutral	neutral
maya	अव्व्व्!	neutral	neutral
indu	चलो।	neutral	neutral
maya	 ओह्, मोनीश, ब्य् थै वय्, कल् वह् अलमारी ज़र हतव लेन, हान्? प्लैअसै।	neutral	neutral
indu	 नहिन्! वह् अलमारी कहीन् नहिन् जएगी! मय, तुम्हेन् मेरी बात् माननी होगी!	neutral	neutral
 
inspector	हेल्लो चोन्स्तब्ले देखो वह् भग् ने न पये उस् मैन् गते से। येअह्। यहन् पेर् कौन् रहत है	neutral	neutral
sahil	म्र्स् देसै कि ददि म	neutral	neutral
inspector	हेल्लो ओपेन् थे दूर् थिस् इस् पोलिचे	neutral	neutral
sahil	दद् क्य किय	neutral	neutral
indravardhan	क्य करुन् शर्मन् अ गय	neutral	neutral
sharman	मै क्य करु नीचे बोहोत् सारे चोन्त्स्तब्लेस् खदे है	neutral	neutral
indravardhan	तु एक् कम् कर् सहिल् के फ़्लत् मेइन् चुप् ज जल्दि जल्दि खोल्न	neutral	neutral
sharman	यह् दर्वज क्योन् नहिन् खुल् रह	neutral	neutral
sahil	वह् थोद जम् हो गय है योउ गोत्त त्र्य् हर्देर्	neutral	neutral
sharman	बक्वस् दर्वज है हमरे अपर्त्मेन्त् क दर्वज मखन् कि तरह् खुल्त है	neutral	neutral
sahil	उन्फ़ोर्तुनतेल्य् तुम्हरे अपर्त्मेन्त् क दर्वज़ खोल् कर् हमर घर् थोदि आएग	neutral	neutral
inspector	होव् दरे योउ पुश् मे मैन् वोह् बुदिय पेर् जकर् गिर	neutral	neutral
indravardhan	ओह् म्य् गोद् इस् शे ओक्	neutral	neutral
inspector	अरे सवल् पूछ् उथ्कर् मेर सर् ख गयि वोह्	neutral	neutral
indravardhan	अब् वोह् बधिय है हि ऐसि	neutral	neutral
inspector	यह् कौन् है शर्मन्	neutral	neutral
indravardhan	हह्हह 	neutral	neutral
sahil	हान् हहह	neutral	neutral
sharman	सहिल् इस् ओवेर्	neutral	neutral
sahil	ओकय्	neutral	neutral
sharman	शर्मन् कपदिअ	neutral	neutral
inspector	चलिये	neutral	neutral
indravardhan	अरे इन्स्पेच्तोर् सहब् सुनिये तो आरम् से अन्दर् बैथे हैन् ज़र चै पनि हो जाये हह्?	neutral	neutral
 
maya	मोनिश अगर् मुझे कुछ् हो गय तो यह् सेत् है। मेरि बनि मुझे दिय थ कह थ कि सहिल् कि शादि मेइन् उस्कि बहु को देन इसे सम्भल् दो बेत।	neutral	neutral
monisha	थन्क् योउ मुम्म्य्जि	neutral	neutral
monisha	और् अगर् मुझे कुछ् हो गय तो तु यह् लिस्त्।  जो चिज् है मैन् सहिल् को नहिन् बनकर् खिलै ज़र आप्	neutral	neutral
maya	बदि लम्बि लिस्त् है। लेकिन् मैन् खिल दुन्गि	neutral	neutral
monisha	थन्क् योउ	neutral	neutral
maya	इन्द्रवर्धन्, मेरे रोसेश् को ज्यद परेशन् मत् कर्न। अगर् मुझे कुछ्	neutral	neutral
rosesh	मोम्म। नो!	neutral	neutral
indravardhan	चोमे ओन् मय प्लेअसे। तुम् दोनोन् कहिन् नहिन् जाने वले	neutral	neutral
dushyant	नहिन् नहिन् सोनिअ कि भविश्य्वनि गलत् हो हि नहिन् सक्ति। देखो मेइन् सिर्फ़् १० सेचोन्द्रह् गये हैन्	neutral	neutral
rosesh	व्हत् अरे योउ सयिन्ग्?	neutral	neutral
dushyant	मैन् सिर्फ़् १० अब् तो आथ् हि सेचोन्द्स् रह् गये हैन्। बज् गये ६	neutral	neutral
rosesh	मोम्म? आआ	neutral	neutral
maya	इ'म् फ़िने	neutral	neutral
rosesh	हहह	neutral	neutral
maya	मोनिश?	neutral	neutral
monisha	मैन् भि थीक् हुन्	neutral	neutral
maya	म्य् ओह् म्य् गोद्!	neutral	neutral
sahil	देख देख ६ बज् गये और् किसि को कुछ् नहिन् हुअ	neutral	neutral
radha bai	मेम्साब् मेम्साब्	neutral	neutral
maya	क्य हुअ रध भै	neutral	neutral
radha bai	गओन् से फोने आय मेरि मन्दोदरि मसि गुजर् गै। मुझे गओन् जन पदेग	neutral	neutral
indravardhan	रध भै गओन् कहन् है तुम्हर	neutral	neutral
radha bai	वह् सतर के वह् बजु मेइन् उधर् बहुत् दुर् है	neutral	neutral
maya	एउरेक दोन्'त् योउ सी एवेर्य्थिन्ग् इस् फ़ल्लिन्ग् इन्तो प्लचे हमेन् से कोइ बहुत् दुर् जयेग रध भै!	neutral	neutral
indravardhan	मर्ने वलि औरत् होगि म् से नाम् शुरु होग मन्दोदरि मौसि	neutral	neutral
rosesh	और् रध बै के हथ् मेइन् कल फोने भि है	neutral	neutral
sahil	१ मिनुत् लेकिन् सोनिअ ने तो कह थ मर्ने वलि क सम्बन्ध् कन्च् से होग	neutral	neutral
radha bai	कन्च्? मेरि मौसि कन्च् के चुदियन् बनति थि	neutral	neutral
indravardhan	थेरे थेरे। इ क्नेव् इत्	neutral	neutral
sahil	मोम् प्लेअसे इ मेअन्। आआ वे अरे अल्ल् विथ् योउ रध भै	neutral	neutral
radha bai	मजि मौसि	neutral	neutral
sahil	यह् थि सोनिय कि भविश्य्वनि। अब् आने सोनिय को ऐस धातु गान	neutral	neutral
maya	अरे दन्त्न है किसि को तो मनिश को दन्तो	neutral	neutral
indravardhan	क्योन्?	neutral	neutral
maya	क्योन्! इत्ने साल् हो गये इने कि शादि को आज् तक् बैन्गन् क भर्त और् बज्रे क रोत्ल नहिन् खिलय इन्होने। थिस् इस् तू मुच् मोनिश!	neutral	neutral
monisha	और् मुम्म्य् जि आप् आपने भि तो यह् सेत् मुझे आज् हि दिय है न। बने क्य कह थ शादि के वक़्त् देन। मुम्म्य् जि मेर सेत् क्योन् ले लिय?	neutral	neutral
maya	पह्ले इस् सेत् के लयक् कप्दे बन्व लो। हेल्लो सरित! वेल्ल् इ'म् चोमिन्ग् तो परिस् अफ़्तेर् अल्ल्। येस्। रोसेश् जर गदि निकलो	neutral	neutral
dushyant	चोमे ओन् मुम् गदि कि क्य जरुरत् है मैन् आप्को अम्बुलन्चे मेइन् छोद् देत हुन् न। अरे रोसेश् रुको	neutral	neutral
indravardhan	जैसे थे वैसे हि अच्चे हैन् सहि अच्च हुअ दोनोन् मेइन् से कोइ नहिन् गय। जर सोच् वर्न लिफ़े कित्नि दुल्ल् हो जाति न।	neutral	neutral
rosesh	योउ चन् सय् थत् अगैन्	neutral	neutral
indravardhan	सोच् वर्न लिफ़े कित्नि दुल्ल् हो जति न	neutral	neutral
sahil	एक् दुश्यन्त् कफ़ि है दद्	neutral	neutral
 
