Speaker	Utterance	Emotion	Sentiment
maya	इन्द्रवदन् प्रयस्चित् इस् मेलोद्रमतिचल्ल्य् मिद्द्ले च्लस्स्। रोसेश् बेत, आज् से यह् घर् तुम्हर। चोन्सिदेर् थिस् ओउर् पेनन्चे। तुम् कहिन् नहिन् जाओगे हम् हि चले जएन्गे। हप्प्य् दिवलि अन्द् गूद्ब्ये। चलो इन्दु।	sadness	negative
indu	मय ये तो रोक् हि न्हि र्ह है, कहन् जएन्गे हुम् लोग्?	neutral	neutral
sahil	रोसेश् क्य कर् रहे हो? मोम् अन्द् दद् घर् छोद्कर् ज रहे हैन्!	neutral	neutral
indu	देख मुझे पत थ कि यह् नलयक् कुछ् ज़्यत्ति करेग। अब् क्य करेन्? कुछ् करो, तुम् करो!	neutral	neutral
maya	रोसेश् बेत, यह् मिद्द्ले च्लस्स् घर् अब् तुम्हेन् मुबरक् हो।	sadness	negative
indu	अब् भि कोइ असर् न्हि हो र्ह है, मे कर्त हुन्। रोसेश् बेते सुनो मेरि अल्मरि के तीस्रे द्रवेर् मैन् कुछ् द्व्द्स् रखि है, वो मत् देख्न, हुह्? ओर्, ओर् बेते सुनो, मा बाप् तो आखिर् मा बाप् हि होते हैन्!	neutral	neutral
rosesh	मोम्म प्लेअसे आप्॥।	neutral	neutral
maya	अच! नहिन् जाउन्गि मैन्!	neutral	neutral
indu	हुम्! हुम् न्हि जएन्गे बेते!	neutral	neutral
rosesh	मोम्म!!	joy	positive
monisha	चलो इन्कि कत्ति खतम् हो ग्यि!	joy	positive
maya	दिफ़्फ़ेरेन्चेस् रेसोल्वे हो ग्ये मोनिश! कत्ति खतम् होग्यि इस् अस् पथेतिच् अस् तुमर ये चन्देल् अन्द् ये स्तिच्केर्स्, निलओ इन्हे बह्र्। अब् इन्स्स् घर् से अगर् कोइ जयेग तो तुमरे येह् मोद्द्ले च्लस्स् देचोरतिओन्स्। ओउत् ओउत्! हप्प्य् दिवलि बब्य्	joy	positive
 
maya	रध बै! वित्थल्! मोनिश!	neutral	neutral
indu	मय सुनो, ये कच्र नहिन् है। यह् मेरि जेअन्स् है फ़वोउरिते।	fear	negative
maya	तुम्हरि फ़वोउरिते जेअन्स् मेइन् इत्न बद छेद् है!	disgust	negative
indu	हन् तो आज्कल् वो छेद् वले कप्दे पेह्न फ़शिओन् मेइन् है।	neutral	neutral
maya	इन्द्रवदन् घुत्ने पे य थिघ्स् पे छेद् हो तब् वो जेअन्स् फ़शिओनब्ले होति है, इस्मेइन् कहन् छेद् है दिखओ?	contempt	negative
maya	रध बै! रोसेश्!	neutral	neutral
indu	हह, कमल् है न दोनो कम् वलि बयिअन् आज् गयब् है।	joy	positive
maya	इन्दु! तुम्हि उथकर् के फ़ेन्क् दो बहर् चलो।	neutral	neutral
indu	हैल यह् तो मेरि फ़वोउरिते चोचोलते क दिब्ब है मय!	surprise	neutral
maya	तुम्हरि फ़वोउरिते चोचोलते एक्ष्पिरे हो चुकि है	neutral	neutral
indu	रहने दो न मय, कम् आएगि	neutral	neutral
maya	क्य कम् आएगि?	neutral	neutral
indu	मैन् ख लुन्ग	neutral	neutral
maya	इन्दु इस्मेइन् ज़हर् फ़ैल होग	neutral	neutral
indu	तो तुम् ख लेन	neutral	neutral
maya	क्य तुम् सच् मेइन् चह्ते हो कि मैन् मर् जाउन्? इ'ल्ल् रेफ्रसे थे क़ुएस्तिओन्। अगर् भग्वन् तुम्हेन् ओप्तिओन् दे कि तुम् अप्नि जान् दोगे य मय कि तो तुम् कौन् स ओप्तिओन् चुनोगे?	neutral	neutral
indu	येअह् दो मेइन् से एक् उन्गलि सेलेच्त् करो नहिन् फ़िर् से फ़िर् से अब्	neutral	neutral
maya	इ हवे गोत् म्य् अन्स्वेर् इन्द्रवदन्	sadness	negative
indu	रोसेश् कहन् थे तुम्? कब् से चिल्ल रहि हून्!	neutral	neutral
rosesh	येह् आप्क लेत्तेर्॥।	sadness	negative
maya	लेत्तेर्?	surprise	neutral
rosesh	जो आपने दद् को लिख थ मेरे पैद होने से पह्ले!	sadness	negative
indu	तेरे पैद होने से पह्ले? आये हये क्य सुहने दिन् थे कब् लौतेन्गे अब् प्त न्हि!	contempt	negative
rosesh	बहुत् जल्द् वह् दिन् वपस् लौत् आएन्गे दद्	sadness	negative
maya	क्योन् ऐस कह् रहे हो क्य है इस् लेत्तेर् मैन्?	neutral	neutral
rosesh	इस्मेइन् सबूत् है कि आप् लोगोन् कि जिन्दगि मेइन् मेरि कोइ जरुरत् नहिन् थि! मैन् आप् लोगोन् कि अन्चहि औलद् हुन्	sadness	negative
maya	रोसेश्! थिस् इस् सुप्रेमेल्य् मिद्द्ले च्लस्स्!	contempt	negative
rosesh	ओक् मैन् आप्क उन्वन्तेद् चिल्द् हुन्	sadness	negative
maya	थत्'स् बेत्तेर्। अरे रोसेश्, तुम्हेन् ऐस क्योन् लग्त है बेत?	neutral	neutral
 
sahil	रोसेश् चुप् हो जओ। मोनिश पनि लेकर् आओ!	anger	negative
monisha	कौन्स वल लौन्?	neutral	neutral
sahil	कौन्स वल मत्लब्?	neutral	neutral
monisha	इस्मे लह्सुन् क तद्क गिर थ और् इस्मेइन् बल्ल्पेन्।	neutral	neutral
sahil	बल्ल् पेन् लेअक् हो रहि थि?	neutral	neutral
monisha	नहि	neutral	neutral
sahil	तो वह् वल पनि लेकर् आओ	neutral	neutral
monisha	ओकय्	neutral	neutral
sahil	हेल्लो मुझे बतओ तुम् रो क्योन् रहे हो?	anger	negative
rosesh	मोम्म है न मोम्म, वो मुझे मार्न चह्ति थि सहिल् भै!	sadness	negative
sahil	मोम् भि?	neutral	neutral
rosesh	हान्।	sadness	negative
sahil	मोम् तुम्हे क्युन् मर्न चह्ति थि रोसेश्? तुम् मोम् को बहुत् अच्चे लग्ते हो। तुम् अच्तिन्ग् कर्ते हो फ़िर् भि!	neutral	neutral
rosesh	मेरे पैद होने से पह्ले मोम्म को पत थोदि न थ, कि मैन् पैद होकर् ग्रेअत् अच्तोर् बनुन्ग।	sadness	negative
monisha	यह् लिजिये	neutral	neutral
rosesh	थन्क् योउ। इस्मेइन् से तो अजीब् सि स्मेल्ल् अ रहि है भभि	disgust	negative
sahil	पी ले न! ऐसि अच्तिन्ग् कर् जैसे यह् बेस्त् क़ुअलित्य् विने हो। ग्रेअत् अच्तोर् है ये!	contempt	negative
monisha	सहिल् तुम् रोसेश् भैय को तन क्योन् मर् र्हे हो?	neutral	neutral
rosesh	तन हि तो मर् रहे हैन् भभि, मोम् कि तरह् जान् से तो नहिन् मार् रहे॥।	sadness	negative
monisha	मुम्म्य् जि ने आप्को मर्ने कि कोशिश् कि?	neutral	neutral
sahil	तुम् मोनिश के कप्दे पहन् के खदे थे? हान् तो क्युन्?	neutral	neutral
rosesh	मेरे पैद होने से पह्ले सहिल् भै, वो तीस्र बच्च नहिन् चह्ति थि। वो मुझे पैद होने देन नहिन् चह्ति थि!	sadness	negative
sahil	व्हत् नोन्सेन्से रोसेश्?	anger	negative
rosesh	ऐस खत् मेइन् लिख है उन्होने	sadness	negative
sahil	तो मोम् के पस्स् उस् बात् क कोइ एक्ष्प्लनतिओन् होग रोसेश्।	neutral	neutral
rosesh	लेकिन् उन्होने ऐस सोच हि क्योन्?	sadness	negative
sahil	रोसेश् उन्होने सिर्फ़् एस सोच है किय तो नहिन् न?	anger	negative
monisha	हन् रसेश् भैय देखिअए न मैन् अप्न पुरन कुर्त कित्नि बर् फ़ेन्क् देने क सोच्ति हून् लेकिन् फ़ेक्ति थोदि हून्	neutral	neutral
sahil	मोनिश तुम्हरे फते हुए कुर्ते मेइन् और् रोसेश् मेइन् थोद फ़र्क् है।	neutral	neutral
rosesh	कोइ फ़र्क् नहिन् है सहिल् भै। मैन् भि फत् चुक हुन् इस् पुरने कुर्ते कि तरह्!	sadness	negative
monisha	और् दोनोन् क चोलोउर् भि समे है। देखो। ओफ़्फ़् व्हिते।	neutral	neutral
rosesh	सी थे चोइन्चिदेन्चे!	sadness	negative
sahil	अरे हन्! रोसेश् मे सिर्फ़् हूक् नहिन् है॥।	anger	negative
 
rosesh	मोम्म आप् मुझ्से दुर् हि रहे तो बेह्तर् होग	sadness	negative
maya	बतओ फूल् खुश्बु से दुर् रह् सक्त है?	neutral	neutral
rosesh	यह् लिने सेरिओउस्ल्य् मिद्द्ले च्लस्स् नहिन् है?	contempt	negative
maya	हन् है। लेकिन् मैने सोच कि अगर् मैन् थोद पोएतिच् लन्गुअगे मैन् तुम्से बात् करुन् तो॥। लेकिन् बतओ न फूल् खुश्बु से दुर् हो सक्त है?	neutral	neutral
rosesh	फूल् और् खुश्बु एक् दुस्रे से दुर् रह् सक्ते हैन् मोम्म, अगर् फूल् प्लस्तिच् के हो तो।	sadness	negative
maya	नहिन् नहिन् प्लेअसे बब्य् अप्ने आप् को प्लस्तिच् क फूल् मत् कहो	sadness	negative
rosesh	मोम्म प्लस्तिच् क फूल् मैने आप्को कह है। मैन् तो ब्लूद्य् फ़ूल् हुन्! जो इत्ने सलोन् से सोच् रह थ कि किसि को जरुरत् हो न हो लेकिन् मेरि मोम्म को मेरि जरुरत् होगि	sadness	negative
maya	हन् तो है न बेत है	neutral	neutral
rosesh	आप् झूथ् बोल् रहि है मोम्म। आप् तो मेरे पैद होने के पह्ले हि॥।	sadness	negative
maya	रोसेश् बब्य् वो तो सिर्फ़् एक् खयल् थ।	neutral	neutral
rosesh	मत्लब् ख्यल् तु आय थ न मेर खून् कर्ने क	sadness	negative
maya	रोसेश् प्लेअसे दोन्'त् एक्षग्गेरते। उस्स् वक़्त् मेरि तबियत् बहुत् वेअक् थि। द्र्। झुन्झुन्वल ने तो कह भि थ कि तीस्र बच्च होने मेइन् मेरि जान् को खत्र है!	neutral	neutral
rosesh	मत्लब् आपने अप्नि जान् बचने के लिये मेरि जान्॥।	sadness	negative
rosesh	जो सवल् अप्ने दद् से किय वहि सवल् मैन् आप्से कर्त हुन् मोम्म, अगर् भग्वन् आप् से पूचेन्गे कि किसि एक् कि जान् को देन जरुरि है, तो आप् मेरि हि जान् देन्गि न?	sadness	negative
maya	नो नो इ स्वेअर् बब्य् नो! नेवेर्! मेइन् तुम्हरि जान् कभि न देति! मैन् भग्वन् को सम्झति कि भग्वन् रोसेश् तो आप् हि कि देन् है दुनिय को, आप् उस्कि जान् मत् लिजिये। उस्के बद्ले सम्ने के घर् को देखिये। वहन् एक् जान् है जो सर दिन् भैन्स् कि तरह् त्व् के सम्ने पदि रह्ति है!	contempt	negative
rosesh	मोनिश भभि कि बात् छोदिये। लेकिन् उसे वक़्त् तो आपने अप्नि हि जान् कि पर्वह् कि थि न मोम्म!	neutral	neutral
maya	मैन् न कर्ति रोसेश्, लेकिन् सहिल् और् सोनिअ चोते चोते थे और् बै कम् छोद् कर् के चलि गै थि। मैन् खुद् उन् दोनोन् को स्चूल् ले जय कर्ति थि। और् जब् हमरि गदि खरब् हो गै तो मैने तक्षि से सफ़र् किय है लेकिन् उफ़्फ़् तक् नहिन् कि। फ़िर् पर्त् तिमे नौकेर् कम् चोद् के भग् ग्य! तो मैने उन्के कप्दे इस्त्रि किये हैन्। इन्न् तक्लिफ़ो के बीच् जब् मुझे पत चल कि मुझे तीस्र बच्च होने वल है, तो मैन् क़ुबूल् कर्ति हुन् कि एक् सेचोन्द् के लिये मेरे मन् मेइन् यह् विचर् आय, तो क्य मैने गुनह् किय?	sadness	negative
rosesh	सोर्र्य् मैन् अब् यहन् नहिन् रुक् सक्त	sadness	negative
maya	तु कहन् जाओगे तुम्?	sadness	negative
rosesh	वहिन् जहन् किसि को मेरि जरुरत् हो।	neutral	neutral
maya	तुम्हरि किसे जरुरत् होगि? इ मेअन् किसि न किसि को तो होगि जरुरत् मगर् किसे?	neutral	neutral
rosesh	वो तो वक़्त् आने पर् और् अद् आने पेर् पत चल् जयेग मोम्म।	sadness	negative
maya	अद्?	surprise	neutral
 
indravardhan	।हहह। चन् योउ इमगिने सहिल् दो घन्ते तक् रोसेश् किस्मि को अप्ने द्रम के दिअलोगुए सुनत रह धदक् धदक् धदक्। हहह	joy	positive
monisha	वह् तो थीक् है ददि जि ज़र ये सोचिये अगर् किस्मि क घर् किसि कब्रिस्तन् के पस्स् होत तो?	neutral	neutral
sahil	तो क्य। रोसेश् को दिअलोगुए बोलने कि जरुरत् हि नहिन् पदति। वोह् चुप्चप् किस्मि के सम्ने बैथ रहत वह् और् अप्ने आप् कब्रिस्तन् क फ़ील् आ जत	joy	positive
indravardhan	हहह। सफ़ेद् भूत् कहिन् क। हहह	joy	positive
rosesh	सहिल् भै दद्?	neutral	neutral
indravardhan	अय्य् देखो देखो	neutral	neutral
rosesh	मोनिश भभि	neutral	neutral
indravardhan	देखो मोनिश गौर् से देखो	neutral	neutral
rosesh	क्य क्य क्य	neutral	neutral
sahil	एक् मिनुते एक् मिनुते। रोसेश् बैथ् जओ। बैथ् ज आन्खेन् बदि कर् अब् दद् को गौरो। दन्त् निकल् केऽआ यह् देखो हैन् समे तो समे	joy	positive
monisha	हान्। समे	neutral	neutral
rosesh	क्य हुअ आप् सब् ऐसे गोरे क्योन् रहे? मुझे शर्म् आ रहि है	joy	positive
indravardhan	ओह् हो भूत् शर्म र ह है। हहह	contempt	negative
sahil	अच्च यह् बत तो दौद दौद क्योन् आय यहन्?	neutral	neutral
rosesh	अरे हान्। किस्मि आयि है क्य यहन्?	neutral	neutral
monisha	किस्मि तोह् मुम्म्य् जि के सथ् गै है न नौकरि क इन्तेर्विएव् देने?	neutral	neutral
rosesh	रस्ते मेइन् मोम्म को सरित औन्त्य् मिल् गै वह् उन्हे हि हेल्लो कर् ने लगि गि किस्मि गयब्	neutral	neutral
indravardhan	गयब्?	surprise	neutral
 
maya	थिस् इस् थे लिमित् इन्दु। अरे मधुभै इस् तरह् से अप्नि भतिजि को हमरे यहन् कैसे छोद् सक्ते हैन्	contempt	negative
indravardhan	इस्मे क्य हर्ज् क्य है मय	neutral	neutral
maya	इन्द्रवर्धन् कुन्वरि लद्कि है वह्। इ मेअन् हुम् रेस्पोन्सिबिलित्य् कैसे ले सक्ते हैन्? हमरे घर् मेइन् एक् हन्द्सोमे योउन्ग् कुन्वर लद्क है	neutral	neutral
indravardhan	छत् मैन् कुन्वर कहन् हुन्।	joy	positive
maya	मैन् रोसेश् कि बात् कर् रहि थि	anger	negative
indravardhan	हन् रोसेश् कुमर है पेर् वह् हन्द्सोमे कहन् है	neutral	neutral
maya	ओह् चुत् इत् ओउत् इन्दु इन् अन्य् चसे मुझे रोसेश् कि फ़िकर् नहिन् है। वह् ऐसि मनि बेन् मदे इन् जैपुर् जैसि लद्कि के सम्ने आन्ख् उथकर् भि नहिन् देखेग	contempt	negative
indravardhan	नतुरल्ल्य् तुम् उस्कि आन्खेन् नहिन् नोच् लोगि	contempt	negative
maya	वेल्ल् थेरे'स् थत् बुत् थे पोइन्त् इस् थे रोसेश् इस् नोत् अ प्रोब्लेम्। लेकिन् वह् लद्कि कल् कुछ् उल्त सुल्त हो गय तो फ़िर्	neutral	neutral
indravardhan	अरे दोन्'त् वोर्र्य् मय, य किस्मि इस् कसम् कि लद्कि नहिन् है	neutral	neutral
maya	तुम्हेन् कैसे पत हो सक्त है कि वह् पगल् हो यह् सेरिअल् किल्लेर् यह्॥।	neutral	neutral
kismi	मासि क्य सोने कि तयरि हो रहि हैन्?	joy	positive
maya	किस्स् मे प्लेअसे किसि के कम्रे मेइन् आने से पह्ले क्नोच्क् कर्न चहिए	contempt	negative
kismi	कल् से क्नोच्क् कर् के आउन्गि न। कैसे हो मौस	joy	positive
indravardhan	एकदम् मजे मेइन्। आज् मेइन् जम्के सोउन्ग भै। दब के खय है मय के हथोन् क बन हुअ मुश्रूम् मसल। 	joy	positive
maya	इत् वस् मुश्रूम् दे पैज़ इन्द्रवर्धन्। अन्द् प्लेअसे हेअल्थिल्य् खय है बोलो दब के खय है इस् वेद्दिन्ग् रेचेप्तिओनिस्तचल्ल्य् मिद्द्ले च्लस्स्। जहन् लोग् दब के बसुन्दि पिते है यह् चुत्लेत्स् खते हैन्। नोत् तो फ़ोर्गेत्  त्रिरन्गि धोकल अन्द् पान्। लेकिन् इ अम् सुरे तुम् तो देफ़िनितेल्य् दिन्नेर् दिस्चुस्स् नहि कर्ने आयि होगि हो	contempt	negative
kismi	नै मसि। इस्मे दिस्चुस्स् क्य कर्न। मैन् तो नोन्-वेग् खति हि नहिन् न	contempt	negative
maya	एक्ष्चुसे मे किस्मि। यह् जो मुश्रूम् होते हैन् न वह् नोन्-वेग् नहिन् होते	neutral	neutral
kismi	वो नोन्-वेग् जैस हि होत है मौस और् मेरे जेत्पुर् मेइन् हैन उस्से बिल्लि क तोप् केह्ते है। वह् मरेलि सदेलि गिलि लकदि पेर् जब् भि निकल् आत है न मुश्रूम् कब् है न उसे	disgust	negative
maya	एक्ष्चुसे मे किस्मि। मुश्रूम् कोइ बिमरि नहिन् है जो निकल् कर् आये अन्द् प्लेअसे गेत् तो थे पोइन्त्। तुम् इत्नि रात् को यहन् क्योन् आयि ओ	neutral	neutral
kismi	हान्। मसि इधर् आजु बजु मेइन् रैल्वय् स्ततिओन् कहन् है	neutral	neutral
maya	स्ततिओन्? क्युन्?	surprise	neutral
kismi	वह् क्य है न  कि जेत्पुर् मेइन् मेर घर् रैल्वय् स्ततिओन् के लग्गो लग् है। तुम् मुझे है न कि त्रैन् आवर् जावर् कि अवाज़् सुन्के हि सोने कि आदत् है	neutral	neutral
indravardhan	एक् मिनुते एक् मिनुते किस्मि। इस्क मत्लब् तुम् रैल्वय् स्ततिओन् पेर् जकर् सोने कि सोच् रहि हो	neutral	neutral
kismi	न रे सन्गि नहिन् पेर् सुन् के अवूगि तु दो घदि आन्ख् तो लगेगि न मौस	neutral	neutral
maya	इत्नि रात् को तुम्हेन् कोइ स्ततिओन् नहिन् ले ज सक्त हा। एक् कम् करो कुदि थोदि देर् चुख् चुख् बोलो और् सो जओ। ओक्	neutral	neutral
kismi	हैन्?	surprise	neutral
indravardhan	मधुभै कि भतिजि। हैन्!	anger	negative
 
sahil	येस्स्?	neutral	neutral
kismi	हेल्लो गूद् निघ्त्	joy	positive
sahil	हा गूद् निघ्त् कहने के लिये तुम् अभि आयि हो	neutral	neutral
kismi	हन्। तुम् मोनिश को भि बोल् देति हुन्। मोनिश	neutral	neutral
sahil	अर्रे ष्ह्	anger	negative
kismi	मोनिश	neutral	neutral
sahil	अय्य् किस्मि मैन् मनिश को गूद् निघ्त् बोल् दुन्ग चलो और् सुनो अगर् कल् रात् भि तुम् भुल् गै न गूद् निघ्त् बोल्न तो पर्सोन् सुबह् आन बेलतेद् गूद् निघ्त् बोल्न चलओ	neutral	neutral
monisha	कौन् है सहिल्? किस्मि रात् को एक् बजे	surprise	neutral
sahil	रात् के तीन् बजे हि मोनिश	neutral	neutral
monisha	अरे हन् मेरि गदि तो एक् हफ़्ते से बन्द् है	neutral	neutral
kismi	तुम् एक् हफ़्ते से बन्द् घदि पहन् रहि हो	surprise	neutral
monisha	हन् वह् गोल्द्-प्लतेद् है न और् फ़िर् हथ् पर् बन्दि हुइ अच्चि लग्ति है महन्गि वलि और् वैसे भि करीब् से कौन् देख्ने आत है कि बन्द् है य चलु	neutral	neutral
kismi	हिघ् च्लस्स् है हान् मोनिश। पेर् मन् लो के किसि ने पूछ बहन् तिमे क्य हुअ है तोह्	neutral	neutral
monisha	तो मैन् फ़ोरन् चुके कैसे देति हो। अरे मेरि गल्ति तो बन्द् हो गै	neutral	neutral
kismi	सोलिद् हिघ् च्लस्स् इदेअ हि मोनिश। हहह। अय् लेकिन् मोनिश सोचो के किसि सिम् आदमि ने २-३ बर् तिमे पूछ् लिय तो	neutral	neutral
monisha	यह् तो मैने सोच हि नहिन् कब् तो उसे शक् हो सक्त है न किस्मि	fear	negative
sahil	ऊओ चोक्रियो। चलो यह् बन्द् गदि वसुल् वसुल् कल् सुबह् खेलोगे तो चलेग	neutral	neutral
kismi	सोर्र्य् सहिल् भै अच्तुअल्ल्य् मुझे थोदि मदद् चहिए थि	neutral	neutral
sahil	कैसि	neutral	neutral
kismi	वह् मुझे रैल्गदि कि अवाज़् सुनि थि	neutral	neutral
sahil	अल्क यग्निक् य उदित् नरयन् कि अवज़् नहिन् चलेगि न	contempt	negative
kismi	बुस् बुस् सहिल् भै मेरि फ़िर्कि खिन्च् रहे हो न	sadness	negative
sahil	नहिन् नहिन् क्य है न कर् मेरि च्द् के चोल्लेच्तिओन् मेइन् त्रैन् कि अवाज़् वलि सिधि नहिन् है	contempt	negative
kismi	तो अब् मुझे निन्द् कैसे आएगि	sadness	negative
sahil	एक् कम् करो अब्बि प्लेअसे सोने कि कि कोशिश् करो अगर् नीन्द् नहि आये न तो मन् मेइन् मैन् वह् बेद् बक्रियन् १ २ ३ ४ चलो चलो चलो गूद् निघ्त्	neutral	neutral
monisha	गूद् निघ्त्	joy	positive
 
maya	गयब् अस् इन् थिन् ऐर्। सरित और् मैन् पुरि बुइल्दिन्ग् चन् मरि	neutral	neutral
indravardhan	कौन् सि?	neutral	neutral
maya	एम्बस्स्य् एम्बस्स्य् तोवेर्स् उस्के आस् पास् कि सरि सद्के भि देख्नि हुम् लोगोन् ने	neutral	neutral
monisha	लेकिन् आपने उसे नाम् लेकर् पुकर? उसे अवाज़् दि?	neutral	neutral
maya	नहिन्	anger	negative
indravardhan	चोम्मोन् मय अवाज़् तो लगनि चहिए थि न	anger	negative
maya	उस्क नाम् किस्मि है इन्दु	neutral	neutral
indravardhan	तोह्?	neutral	neutral
maya	सरित और् मैन् हर् जगह् किस्मि किस्मि कहते हुए खून् से तो कैस लग्त?	neutral	neutral
rosesh	कोइ बद्मश् आकर् के मोम्म को किस्स् कर् लेत तो	fear	negative
maya	रिघ्त् तोह्। इ मेअन् मोनिश होति तो अलग् बात् थि। उस्से किस् कर्ने कौन् आत। लेकिन् मैन् तो अभि ३५ कि लग्ति हुन् न	neutral	neutral
rosesh	भले हि आप् हो ५१ कि	neutral	neutral
